google,barbet,Pixel 5a,qcom,1080x2400,420,11,30,244.1.0.19.110,384108453
google,barbet,Pixel 5a,qcom,1080x2400,420,12,31,244.1.0.19.110,384108453
google,blueline,Pixel 3,qcom,1080x2160,440,10,29,244.1.0.19.110,384108453
google,blueline,Pixel 3,qcom,1080x2160,440,11,30,244.1.0.19.110,384108453
google,blueline,Pixel 3,qcom,1080x2160,440,12,31,244.1.0.19.110,384108453
google,bonito,Pixel 3a XL,qcom,1080x2160,400,11,30,244.1.0.19.110,384108453
google,bonito,Pixel 3a XL,qcom,1080x2160,400,12,31,244.1.0.19.110,384108453
google,bramble,Pixel 4a (5G),qcom,1080x2340,420,11,30,244.1.0.19.110,384108453
google,bramble,Pixel 4a (5G),qcom,1080x2340,420,12,31,244.1.0.19.110,384108453
google,coral,Pixel 4 XL,qcom,1440x3040,560,12,31,244.1.0.19.110,384108453
google,crosshatch,Pixel 3 XL,qcom,1440x2960,560,11,30,244.1.0.19.110,384108453
google,crosshatch,Pixel 3 XL,qcom,1440x2960,560,12,31,244.1.0.19.110,384108453
google,flame,Pixel 4,qcom,1080x2280,440,11,30,244.1.0.19.110,384108453
google,flame,Pixel 4,qcom,1080x2280,440,12,31,244.1.0.19.110,384108453
google,marlin,Pixel XL,qcom,1440x2560,560,10,29,244.1.0.19.110,384108453
google,redfin,Pixel 5,qcom,1080x2340,440,12,31,244.1.0.19.110,384108453
google,sailfish,Pixel,qcom,1080x1920,420,7.1,25,244.1.0.19.110,384108453
google,sailfish,Pixel,qcom,1080x1920,420,9,28,244.1.0.19.110,384108453
google,sailfish,Pixel,qcom,1080x1920,420,10,29,244.1.0.19.110,384108453
google,sargo,Pixel 3a,qcom,1080x2220,440,10,29,244.1.0.19.110,384108453
google,sargo,Pixel 3a,qcom,1080x2220,440,11,30,244.1.0.19.110,384108453
google,sargo,Pixel 3a,qcom,1080x2220,440,12,31,244.1.0.19.110,384108453
google,sunfish,Pixel 4a,qcom,1080x2340,440,11,30,244.1.0.19.110,384108453
lge,L-01L,L-01L,qcom,1080x2160,480,10,29,244.1.0.19.110,384108453
lge,L-02K,L-02K,qcom,1440x2880,640,8.0.0,26,244.1.0.19.110,384108453
lge,L-41A,L-41A,qcom,1440x3120,560,10,29,244.1.0.19.110,384108453
lge,L-41A,L-41A,qcom,1440x3120,560,11,30,244.1.0.19.110,384108453
lge,L-51A,L-51A,qcom,1080x2460,420,11,30,244.1.0.19.110,384108453
lge,L-52A,L-52A,qcom,1080x2460,420,12,31,244.1.0.19.110,384108453
lge,acelm,LM-Q920N,qcom,1080x2400,420,11,30,244.1.0.19.110,384108453
lge,acelm,LM-Q920N,qcom,1080x2400,420,12,31,244.1.0.19.110,384108453
lge,acexlm,LM-K920,qcom,1080x2400,420,11,30,244.1.0.19.110,384108453
lge,betalm,LM-G810,qcom,1080x2248,420,11,30,244.1.0.19.110,384108453
lge,blm,LM-R910N,qcom,1876x2428,420,11,30,244.1.0.19.110,384108453
google,bullhead,AWM-A0,qcom,1080x1920,420,8.1,27,244.1.0.19.110,384108453
lge,caymanlm,LM-G900,qcom,1080x2460,420,11,30,244.1.0.19.110,384108453
lge,caymanlm,LM-G900,qcom,1080x2460,420,12,31,244.1.0.19.110,384108453
lge,caymanslm,LM-G910,qcom,1080x2460,420,11,30,244.1.0.19.110,384108453
lge,cv7an,LM-Q815K,qcom,1080x2160,420,8.1,27,244.1.0.19.110,384108453
lge,cv7as,LGL722DL,qcom,1080x2160,420,9,28,244.1.0.19.110,384108453
lge,cv7as,LGL722DL,qcom,1080x2160,420,10,29,244.1.0.19.110,384108453
